Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
24-06-2020,10305.2998,10553.15039,10281.9502,10529.25,854800
25-06-2020,10288.90039,10361.7998,10194.5,10235.5498,994200
26-06-2020,10383,10409.84961,10311.25,10378.90039,671900
29-06-2020,10312.40039,10337.9502,10223.59961,10311.9502,574500
30-06-2020,10302.09961,10401.0498,10267.34961,10382.59961,556200
01-07-2020,10430.0498,10447.0498,10299.59961,10323.7998,573600
02-07-2020,10551.7002,10598.2002,10485.5498,10493.0498,597400
03-07-2020,10607.34961,10631.2998,10562.65039,10614.9502,525200
06-07-2020,10763.65039,10811.40039,10695.09961,10723.84961,571200
07-07-2020,10799.65039,10813.7998,10689.7002,10802.84961,636800
08-07-2020,10705.75,10847.84961,10676.5498,10818.65039,767900
09-07-2020,10813.4502,10836.84961,10733,10755.5498,618700
10-07-2020,10768.0498,10819.40039,10713,10764.09961,590700
13-07-2020,10802.7002,10894.0498,10756.0498,10851.84961,554100
14-07-2020,10607.34961,10755.65039,10562.90039,10750.84961,532400
15-07-2020,10618.2002,10827.4502,10577.75,10701,715900
16-07-2020,10739.9502,10755.2998,10595.2002,10706.2002,694400
17-07-2020,10901.7002,10933.4502,10749.65039,10752,676900
20-07-2020,11022.2002,11037.90039,10953,10999.4502,554300
21-07-2020,11162.25,11179.5498,11113.25,11126.09961,772000
22-07-2020,11132.59961,11238.09961,11056.5498,11231.2002,765100
23-07-2020,11215.4502,11239.7998,11103.15039,11135,621600
24-07-2020,11194.15039,11225.40039,11090.2998,11149.9502,678900
27-07-2020,11131.7998,11225,11087.84961,11225,588100
28-07-2020,11300.5498,11317.75,11151.40039,11154.09961,683900
29-07-2020,11202.84961,11341.40039,11149.75,11276.90039,600700
30-07-2020,11102.15039,11299.9502,11084.9502,11254.2998,677800
31-07-2020,11073.4502,11150.40039,11026.65039,11139.5,642600
03-08-2020,10891.59961,11058.0498,10882.25,11057.5498,680900
04-08-2020,11095.25,11112.25,10908.09961,10946.65039,625700
05-08-2020,11101.65039,11225.65039,11064.0498,11155.75,667600
06-08-2020,11200.15039,11256.7998,11127.2998,11185.7002,600400
07-08-2020,11214.0498,11231.90039,11142.0498,11186.65039,452600
10-08-2020,11270.15039,11337.2998,11238,11270.25,492000
11-08-2020,11322.5,11373.59961,11299.15039,11322.25,586100
12-08-2020,11308.40039,11322,11242.65039,11289,609900
13-08-2020,11300.4502,11359.2998,11269.9502,11334.84961,562400
14-08-2020,11178.40039,11366.25,11111.4502,11353.2998,645100
17-08-2020,11247.09961,11267.09961,11144.5,11248.90039,634000
18-08-2020,11385.34961,11401.7002,11253.15039,11259.7998,579200
19-08-2020,11408.40039,11460.34961,11394.09961,11452.15039,626200
20-08-2020,11312.2002,11361.4502,11289.7998,11317.4502,791600
21-08-2020,11371.59961,11418.5,11362.2002,11409.65039,668700
24-08-2020,11466.4502,11497.25,11410.65039,11412,532900
25-08-2020,11472.25,11525.90039,11423.34961,11513.09961,638200
26-08-2020,11549.59961,11561.75,11461.84961,11512.84961,743400
27-08-2020,11559.25,11617.34961,11540.59961,11609.2998,719800
28-08-2020,11647.59961,11686.0498,11589.40039,11602.9502,807000
31-08-2020,11387.5,11794.25,11325.84961,11777.5498,1371800
01-09-2020,11470.25,11553.5498,11366.90039,11464.2998,783800
02-09-2020,11535,11554.75,11430.40039,11478.5498,593500
03-09-2020,11527.4502,11584.9502,11507.65039,11566.2002,607100
04-09-2020,11333.84961,11452.0498,11303.65039,11354.40039,681300
07-09-2020,11355.0498,11381.15039,11251.7002,11359.59961,560300
08-09-2020,11317.34961,11437.25,11290.4502,11378.5498,572200
09-09-2020,11278,11298.15039,11185.15039,11218.59961,728900
10-09-2020,11449.25,11464.0498,11327.40039,11363.2998,679400
11-09-2020,11464.4502,11493.5,11419.90039,11447.7998,554800
14-09-2020,11440.0498,11568.90039,11383.5498,11540.15039,642300
15-09-2020,11521.7998,11535.9502,11442.25,11487.2002,506700
16-09-2020,11604.5498,11618.09961,11516.75,11538.4502,527800
17-09-2020,11516.09961,11587.2002,11498.5,11539.40039,0
18-09-2020,11504.9502,11584.09961,11446.09961,11584.09961,764200
21-09-2020,11250.5498,11535.25,11218.5,11503.7998,602900
22-09-2020,11153.65039,11302.2002,11084.65039,11301.75,672200
23-09-2020,11131.84961,11259.5498,11024.40039,11258.75,714900
24-09-2020,10805.5498,11015.2998,10790.2002,11011,706100
25-09-2020,11050.25,11072.59961,10854.84961,10910.40039,559600
28-09-2020,11227.5498,11239.34961,11099.84961,11140.84961,472800
29-09-2020,11222.40039,11305.40039,11181,11288.59961,498300
30-09-2020,11247.5498,11295.40039,11184.5498,11244.4502,499300
01-10-2020,11416.9502,11428.59961,11347.0498,11364.4502,447700
05-10-2020,11503.34961,11578.0498,11452.2998,11487.7998,530600
06-10-2020,11662.40039,11680.2998,11564.2998,11603.4502,561400
07-10-2020,11738.84961,11763.0498,11629.34961,11679.25,513400
08-10-2020,11834.59961,11905.7002,11791.15039,11835.40039,608800
09-10-2020,11914.2002,11938.59961,11805.2002,11852.0498,611100
12-10-2020,11930.9502,12022.0498,11867.2002,11973.5498,522600
13-10-2020,11934.5,11988.2002,11888.90039,11934.65039,458300
14-10-2020,11971.0498,11997.2002,11822.15039,11917.40039,569200
15-10-2020,11680.34961,12025.4502,11661.2998,12023.4502,608900
16-10-2020,11762.4502,11789.75,11667.84961,11727.40039,555800
19-10-2020,11873.0498,11898.25,11820.40039,11879.2002,541400
20-10-2020,11896.7998,11949.25,11837.25,11861,453600
21-10-2020,11937.65039,12018.65039,11775.75,11958.5498,623700
22-10-2020,11896.4502,11939.5498,11823.4502,11890,544900
23-10-2020,11930.34961,11974.5498,11908.75,11957.90039,502300
26-10-2020,11767.75,11942.84961,11711.7002,11937.40039,519800
27-10-2020,11889.40039,11899.0498,11723,11807.09961,616300
28-10-2020,11729.59961,11929.40039,11684.84961,11922.59961,704000
29-10-2020,11670.7998,11744.15039,11606.4502,11633.2998,555000
30-10-2020,11642.40039,11748.9502,11535.4502,11678.4502,553700
02-11-2020,11669.15039,11725.65039,11557.40039,11697.34961,568400
03-11-2020,11813.5,11836.2002,11723.2998,11734.4502,674300
04-11-2020,11908.5,11929.65039,11756.40039,11783.34961,667300
05-11-2020,12120.2998,12131.09961,12027.59961,12062.40039,632500
06-11-2020,12263.5498,12280.40039,12131.84961,12156.65039,576800
09-11-2020,12461.0498,12474.0498,12367.34961,12399.40039,553400
10-11-2020,12631.09961,12643.90039,12475.25,12556.40039,847500
11-11-2020,12749.15039,12769.75,12571.09961,12680.59961,880500
12-11-2020,12690.7998,12741.15039,12624.84961,12702.15039,622000
13-11-2020,12719.9502,12735.9502,12607.7002,12659.7002,513900
17-11-2020,12874.2002,12934.0498,12797.09961,12932.5,707700
18-11-2020,12938.25,12948.84961,12819.34961,12860.09961,731300
19-11-2020,12771.7002,12963,12745.75,12839.5,768800
20-11-2020,12859.0498,12892.4502,12730.25,12813.40039,664000
23-11-2020,12926.4502,12968.84961,12825.7002,12960.2998,633100
24-11-2020,13055.15039,13079.09961,12978,13002.59961,571900
25-11-2020,12858.40039,13145.84961,12833.65039,13130,679000
26-11-2020,12987,13018,12790.40039,12906.4502,549800
27-11-2020,12968.9502,13035.2998,12914.2998,13012.0498,1162400
01-12-2020,13109.0498,13128.40039,12962.7998,13062.2002,583600
02-12-2020,13113.75,13128.5,12983.5498,13121.40039,717700
03-12-2020,13133.90039,13216.59961,13107.90039,13215.2998,713700
04-12-2020,13258.5498,13280.0498,13152.84961,13177.40039,640500
07-12-2020,13355.75,13366.65039,13241.9502,13264.84961,591700
08-12-2020,13392.9502,13435.4502,13311.0498,13393.84961,543200
09-12-2020,13529.09961,13548.90039,13449.59961,13458.09961,502600
10-12-2020,13478.2998,13503.5498,13399.2998,13488.5,553400
